"geo";"iso_code";"year";"week";"age";"date";"tkpy";"it";"sens";"ed";"model";"observed";"expected";"y";"increase";"excess";"se";"outcome";"population";"cumexcess";"meanpopulation";"cumexpected";"nuts_level";"geoname";"new_deaths";"cumnewdeaths";"cumexcessperpop";"popdensity";"overcrowding";"urbanization";"gdp";"popold";"obese";"smoke";"alcohol";"asthma";"chrt_angpec";"diab";"hblpr";"healthexpenditure";"nurses"
"AT";"AT";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";1864;1794,23685210754;0,0388817941235079;-0,00219745572180796;-3,94275603694243;21,935087626104;1864;9023492,25657688;11361,3341179437;8965118,86841905;153652,058816845;0;"Austria";154;16741;1267,28203883226;107,6;15,1;31;39259,3;18,8350985322463;17,1;26,2;5,7;4,3;3,2;6;21,8;4734,85;685
"BE";"BE";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";2448;2380,09606773118;0,0285299123801967;-0,00123477793875071;-2,93889011654177;22,7517155731324;2448;11635493,7766361;19172,9659525323;11585487,4570255;200743,800729449;0;"Belgium";170;28362;1654,9123223042;377,3;5,7;29,5;36880,6;18,9031941721715;16,3;19,4;9,7;5,8;1,5;5,8;17,4;4531,27;1122,45
"BG";"BG";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";3084;2283,35205039953;0,350645862717653;0,322822102143861;737,116508844472;21,3170549410243;3084;6467205,00926995;63068,8939335388;6541662,43593568;191178,875133488;0;"Bulgaria";455;30983;9641,11104038003;63,4;41,1;44,8;17438;22,453785366145;13,6;36,2;10,2;2,2;7;6,9;29,7;659,54;437,47
"CY";"CY";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";185;142,482748877024;0,298402799342901;0,242855613708176;34,6027354213577;4,80367782029092;185;901689,748572328;1234,34115684613;896426,842759986;11301,7177294503;0;"Cyprus";11;648;1376,95693387064;95,7;3,4;52,4;28870,1;16,1937734920703;15,2;25,5;4;4;2,1;7;18,9;1827,15;538,09
"CZ";"CZ";2021;52;"TOTAL";2021-12-27;5;TRUE;FALSE;"ExPost";"poisson";2769;2298,06448279591;0,204927024776575;0,195619640337788;449,546547597581;22,6522240259162;2769;10653902,8177582;44910,6607380125;10637742,150685;204642,070764847;0;"Czechia";448;36436;4221,82264825065;138,2;15,4;30;30004,9;19,5930158312832;19,8;26,4;7,8;4,6;2,8;8,8;26,3;1609,55;850,08
"DE";"DE";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";22174;20384,63675013;0,087779991951957;0,0582922205593874;1188,26574146157;65,392934444195;22174;84118188,9009575;82869,077491833;83402022,0764088;1764142,26616678;0;"Germany";1029;118710;993,609932093882;235,2;7,8;36,3;38988;21,5414376428743;19;28,3;7,5;8;4,4;8,7;26,2;4861,64;1108,19
"DK";"DK";2021;52;"TOTAL";2021-12-27;5;TRUE;FALSE;"ExPost";"poisson";1275;1161,35056797783;0,0978597119214889;0,111287627136441;129,243948983811;17,3892619967124;1275;5886119,47711847;1977,43392737329;5859450,87719031;100874,66441935;0;"Denmark";75;3272;337,477686701164;138,5;10;37,6;39388,3;19,5667783484247;16,5;20;9,6;7,2;1,4;5,3;18,9;5404,57;1002,97
"EE";"EE";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";284;327,391688781932;-0,132537539188523;0,0470351997105472;15,3989334654315;7,58191731521827;284;1344278,9663892;3301,2061390108;1337352,4425257;28444,8101610044;0;"Estonia";23;1851;2468,46383499042;30,5;13,9;61;26435,1;19,7647982367416;21,8;24,8;1,3;4,1;4,7;6;23,3;1426,42;619,18
"EL";"GR";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";3310;2767,42661272722;0,196057010067591;0,205483655471341;568,660936631861;22,4569524639232;3310;10528023,7892822;24724,9782240825;10572694,0859785;226886,58380202;0;"Greece";503;21008;2338,56933937706;82,4;28,7;36,9;20762,7;22,0360033974231;16,7;28,6;5,9;3,3;2,9;8;19,6;1401,97;330,94
"ES";"ES";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";9845;9648,77502766529;0,0203367755774269;0,0226304302311262;218,355930079412;50,5107224342208;9845;47693242,1674459;91366,7980758704;47382589,0954032;772545,68403689;0;"Spain";731;92005;1928,27787210839;93,8;5,9;49,6;28660,1;19,303336513214;16;22,1;13;4,1;0,7;7,5;19,3;2414,68;573,62
